hour,day_of_week,is_weekend,ping_avg_rtt_ms_lag_1,ping_avg_rtt_ms_lag_2,ping_avg_rtt_ms_lag_3,ping_avg_rtt_ms_lag_4,download_lag_1,upload_lag_1,jitter_lag_1,weather_code,target
20,6,1,25.82,28.92,28.94,24.72,220.41,49.69,3.86,1.0,27.08
20,6,1,28.46,25.82,28.92,28.94,319.86,34.02,5.49,1.0,26.22
21,6,1,27.08,28.46,25.82,28.92,313.01,39.83,4.31,0.0,24.6
21,6,1,26.22,27.08,28.46,25.82,347.91,31.57,4.59,0.0,23.86
21,6,1,24.6,26.22,27.08,28.46,228.93,39.42,2.65,0.0,27.32
21,6,1,23.86,24.6,26.22,27.08,331.82,34.79,2.27,0.0,35.14
22,6,1,27.32,23.86,24.6,26.22,131.29,38.01,4.98,0.0,79.12
22,6,1,35.14,27.32,23.86,24.6,290.54,43.96,7.35,0.0,24.42
22,6,1,79.12,35.14,27.32,23.86,150.54,29.15,10.24,0.0,24.3
22,6,1,24.42,79.12,35.14,27.32,277.1,39.38,2.78,0.0,24.58
23,6,1,24.3,24.42,79.12,35.14,193.06,39.94,2.61,0.0,24.82
23,6,1,24.58,24.3,24.42,79.12,152.22,31.12,3.14,0.0,35.58
23,6,1,24.82,24.58,24.3,24.42,231.12,32.07,4.2,0.0,28.04
23,6,1,35.58,24.82,24.58,24.3,152.06,38.67,5.35,0.0,28.36
0,0,0,28.04,35.58,24.82,24.58,311.55,34.58,4.37,0.0,24.82
0,0,0,28.36,28.04,35.58,24.82,238.43,42.29,4.55,0.0,27.12
0,0,0,24.82,28.36,28.04,35.58,132.64,30.29,3.67,0.0,25.04
0,0,0,27.12,24.82,28.36,28.04,162.59,38.18,5.59,0.0,25.94
1,0,0,25.04,27.12,24.82,28.36,273.55,37.84,2.67,0.0,24.32
1,0,0,25.94,25.04,27.12,24.82,85.49,34.26,4.59,0.0,24.94
1,0,0,24.32,25.94,25.04,27.12,229.05,30.8,3.78,0.0,24.8
1,0,0,24.94,24.32,25.94,25.04,267.02,35.3,2.86,0.0,28.54
2,0,0,24.8,24.94,24.32,25.94,225.8,9.22,3.67,0.0,26.46
2,0,0,28.54,24.8,24.94,24.32,249.43,31.95,6.84,0.0,30.46
2,0,0,26.46,28.54,24.8,24.94,180.55,29.44,4.31,0.0,24.18
2,0,0,30.46,26.46,28.54,24.8,264.5,43.18,12.12,0.0,29.92
3,0,0,24.18,30.46,26.46,28.54,138.05,31.8,3.06,0.0,25.4
3,0,0,29.92,24.18,30.46,26.46,182.87,45.04,5.45,0.0,25.52
3,0,0,25.4,29.92,24.18,30.46,209.14,8.2,3.47,0.0,29.38
3,0,0,25.52,25.4,29.92,24.18,228.05,39.83,3.71,0.0,27.8
4,0,0,29.38,25.52,25.4,29.92,120.72,24.56,5.06,0.0,26.78
4,0,0,27.8,29.38,25.52,25.4,309.23,29.38,6.02,0.0,28.44
4,0,0,26.78,27.8,29.38,25.52,362.94,52.77,5.14,0.0,37.24
4,0,0,28.44,26.78,27.8,29.38,411.63,35.66,6.61,0.0,28.06
5,0,0,37.24,28.44,26.78,27.8,244.69,35.5,8.71,0.0,27.36
5,0,0,28.06,37.24,28.44,26.78,148.59,36.05,5.31,0.0,33.64
5,0,0,27.36,28.06,37.24,28.44,125.01,36.31,6.43,0.0,28.74
5,0,0,33.64,27.36,28.06,37.24,369.54,44.76,7.08,0.0,24.94
6,0,0,28.74,33.64,27.36,28.06,199.15,28.87,6.59,0.0,28.34
6,0,0,24.94,28.74,33.64,27.36,171.16,31.62,3.27,0.0,30.54
6,0,0,28.34,24.94,28.74,33.64,110.54,26.91,5.1,0.0,29.64
6,0,0,30.54,28.34,24.94,28.74,231.48,26.58,8.02,0.0,24.16
7,0,0,29.64,30.54,28.34,24.94,241.08,35.01,5.08,0.0,25.5
7,0,0,24.16,29.64,30.54,28.34,271.33,35.24,2.71,0.0,36.04
7,0,0,25.5,24.16,29.64,30.54,204.73,44.54,3.43,0.0,27.64
7,0,0,36.04,25.5,24.16,29.64,225.62,22.58,6.9,0.0,27.08
8,0,0,27.64,36.04,25.5,24.16,280.25,23.64,4.53,0.0,41.76
8,0,0,27.08,27.64,36.04,25.5,156.64,25.21,4.45,0.0,29.54
8,0,0,41.76,27.08,27.64,36.04,148.08,18.28,7.82,0.0,25.24
8,0,0,29.54,41.76,27.08,27.64,197.06,30.06,6.53,0.0,30.72
9,0,0,25.24,29.54,41.76,27.08,245.77,9.81,1.98,0.0,35.12
9,0,0,30.72,25.24,29.54,41.76,252.59,15.92,5.55,0.0,24.3
9,0,0,35.12,30.72,25.24,29.54,270.29,45.65,8.33,0.0,26.84
9,0,0,24.3,35.12,30.72,25.24,303.5,32.59,2.39,0.0,27.04
10,0,0,26.84,24.3,35.12,30.72,232.51,39.03,2.96,0.0,25.8
10,0,0,27.04,26.84,24.3,35.12,246.23,39.65,4.8,0.0,32.64
10,0,0,25.8,27.04,26.84,24.3,206.18,36.46,6.63,0.0,27.24
10,0,0,32.64,25.8,27.04,26.84,215.42,37.49,5.94,0.0,24.84
11,0,0,27.24,32.64,25.8,27.04,324.78,35.84,6.1,0.0,28.18
11,0,0,24.84,27.24,32.64,25.8,297.37,48.63,4.04,0.0,32.44
11,0,0,28.18,24.84,27.24,32.64,187.72,38.0,6.69,0.0,32.22
11,0,0,32.44,28.18,24.84,27.24,210.22,25.29,5.18,0.0,25.72
12,0,0,32.22,32.44,28.18,24.84,109.51,25.77,7.82,0.0,34.32
12,0,0,25.72,32.22,32.44,28.18,205.36,51.88,4.67,0.0,26.54
12,0,0,34.32,25.72,32.22,32.44,151.09,23.55,10.18,0.0,24.3
12,0,0,26.54,34.32,25.72,32.22,244.0,30.1,3.59,0.0,26.42
13,0,0,24.3,26.54,34.32,25.72,189.34,33.61,2.67,0.0,27.76
13,0,0,26.42,24.3,26.54,34.32,300.9,13.04,3.57,0.0,23.9
13,0,0,27.76,26.42,24.3,26.54,200.53,37.51,3.69,0.0,25.2
13,0,0,23.9,27.76,26.42,24.3,269.12,35.09,2.14,0.0,23.28
14,0,0,25.2,23.9,27.76,26.42,102.93,36.54,4.43,0.0,25.34
14,0,0,23.28,25.2,23.9,27.76,252.58,41.42,1.37,0.0,24.6
14,0,0,25.34,23.28,25.2,23.9,217.35,18.09,3.76,0.0,24.82
14,0,0,24.6,25.34,23.28,25.2,113.85,31.84,2.69,0.0,26.18
15,0,0,24.82,24.6,25.34,23.28,223.15,55.3,3.22,0.0,25.44
15,0,0,26.18,24.82,24.6,25.34,289.79,11.04,3.12,0.0,25.94
15,0,0,25.44,26.18,24.82,24.6,207.32,36.13,3.65,0.0,27.16
15,0,0,25.94,25.44,26.18,24.82,180.52,46.03,4.02,0.0,29.14
16,0,0,27.16,25.94,25.44,26.18,184.01,34.14,3.63,0.0,24.36
16,0,0,29.14,27.16,25.94,25.44,340.07,31.54,6.43,0.0,28.66
16,0,0,24.36,29.14,27.16,25.94,234.38,42.28,3.55,0.0,24.9
16,0,0,28.66,24.36,29.14,27.16,232.08,33.3,4.59,0.0,29.14
17,0,0,24.9,28.66,24.36,29.14,130.74,33.08,3.82,0.0,25.8
17,0,0,29.14,24.9,28.66,24.36,308.32,51.01,6.78,0.0,25.78
17,0,0,25.8,29.14,24.9,28.66,251.74,37.32,3.67,0.0,26.08
17,0,0,25.78,25.8,29.14,24.9,290.47,52.17,4.31,0.0,24.84
18,0,0,26.08,25.78,25.8,29.14,225.63,52.92,3.88,0.0,28.44
18,0,0,24.84,26.08,25.78,25.8,101.8,29.32,3.53,0.0,24.98
18,0,0,28.44,24.84,26.08,25.78,121.01,30.16,5.9,0.0,29.16
18,0,0,24.98,28.44,24.84,26.08,302.12,32.61,3.55,0.0,33.58
19,0,0,29.16,24.98,28.44,24.84,205.81,31.14,6.84,1.0,23.9
19,0,0,33.58,29.16,24.98,28.44,275.02,43.78,3.88,1.0,26.5
19,0,0,23.9,33.58,29.16,24.98,202.63,24.84,3.35,1.0,28.06
19,0,0,26.5,23.9,33.58,29.16,286.55,45.51,4.08,1.0,24.78
20,0,0,28.06,26.5,23.9,33.58,161.99,36.0,6.33,1.0,28.72
20,0,0,24.78,28.06,26.5,23.9,343.76,57.19,3.06,1.0,32.66
20,0,0,28.72,24.78,28.06,26.5,263.31,45.76,4.96,1.0,27.48
21,0,0,32.66,28.72,24.78,28.06,347.18,42.54,5.57,1.0,30.02
21,0,0,27.48,32.66,28.72,24.78,257.32,40.56,5.92,1.0,27.0
21,0,0,30.02,27.48,32.66,28.72,217.8,49.41,5.71,1.0,25.58
21,0,0,27.0,30.02,27.48,32.66,329.96,28.96,3.33,1.0,27.18
22,0,0,25.58,27.0,30.02,27.48,172.75,36.64,4.22,0.0,24.1
22,0,0,27.18,25.58,27.0,30.02,316.95,41.7,4.51,0.0,23.84
22,0,0,24.1,27.18,25.58,27.0,223.22,30.26,2.08,0.0,23.84
22,0,0,23.84,24.1,27.18,25.58,297.02,60.41,2.94,0.0,35.5
23,0,0,23.84,23.84,24.1,27.18,320.65,43.97,3.1,0.0,27.84
23,0,0,35.5,23.84,23.84,24.1,126.27,42.73,5.9,0.0,26.98
23,0,0,27.84,35.5,23.84,23.84,274.61,50.6,4.43,0.0,25.4
23,0,0,26.98,27.84,35.5,23.84,208.63,42.19,4.65,0.0,24.92
0,1,0,25.4,26.98,27.84,35.5,347.65,45.71,4.45,0.0,25.84
0,1,0,24.92,25.4,26.98,27.84,275.22,40.78,3.51,0.0,24.7
0,1,0,25.84,24.92,25.4,26.98,305.06,57.82,3.98,0.0,41.04
0,1,0,24.7,25.84,24.92,25.4,354.23,44.17,4.14,0.0,34.08
1,1,0,41.04,24.7,25.84,24.92,139.85,30.18,7.31,0.0,27.02
1,1,0,34.08,41.04,24.7,25.84,236.11,41.66,7.69,0.0,27.5
1,1,0,27.02,34.08,41.04,24.7,344.53,38.23,3.43,0.0,24.78
1,1,0,27.5,27.02,34.08,41.04,149.52,36.22,6.61,0.0,43.28
2,1,0,24.78,27.5,27.02,34.08,250.35,53.02,2.73,0.0,25.78
2,1,0,43.28,24.78,27.5,27.02,354.88,41.3,12.06,0.0,24.8
2,1,0,25.78,43.28,24.78,27.5,237.51,38.58,5.37,0.0,26.4
2,1,0,24.8,25.78,43.28,24.78,230.35,39.62,4.08,0.0,25.34
3,1,0,26.4,24.8,25.78,43.28,323.05,9.23,3.04,0.0,28.34
3,1,0,25.34,26.4,24.8,25.78,232.64,37.76,3.53,0.0,25.3
3,1,0,28.34,25.34,26.4,24.8,150.5,27.86,3.9,0.0,25.58
3,1,0,25.3,28.34,25.34,26.4,307.7,27.32,4.06,0.0,27.6
4,1,0,25.58,25.3,28.34,25.34,247.2,32.56,4.57,0.0,26.66
4,1,0,27.6,25.58,25.3,28.34,319.01,54.02,5.73,0.0,25.54
4,1,0,26.66,27.6,25.58,25.3,390.73,26.42,3.9,0.0,25.66
4,1,0,25.54,26.66,27.6,25.58,268.52,46.43,2.51,0.0,30.52
5,1,0,25.66,25.54,26.66,27.6,238.32,28.29,3.37,0.0,24.38
5,1,0,30.52,25.66,25.54,26.66,235.42,33.54,4.08,0.0,28.28
5,1,0,24.38,30.52,25.66,25.54,328.66,46.97,4.22,0.0,23.92
6,1,0,28.28,24.38,30.52,25.66,223.09,32.32,6.59,0.0,25.18
6,1,0,23.92,28.28,24.38,30.52,213.92,20.61,2.63,0.0,26.94
6,1,0,25.18,23.92,28.28,24.38,280.18,43.56,3.76,0.0,25.06
6,1,0,26.94,25.18,23.92,28.28,309.64,21.01,3.04,0.0,28.84
7,1,0,25.06,26.94,25.18,23.92,242.68,52.15,2.53,1.0,29.42
7,1,0,28.84,25.06,26.94,25.18,314.24,31.96,2.82,1.0,24.56
7,1,0,29.42,28.84,25.06,26.94,187.97,35.64,6.27,1.0,29.0
7,1,0,24.56,29.42,28.84,25.06,253.63,40.86,3.37,1.0,33.98
8,1,0,29.0,24.56,29.42,28.84,358.63,36.39,5.55,1.0,27.1
8,1,0,33.98,29.0,24.56,29.42,290.63,33.1,10.84,1.0,26.74
8,1,0,27.1,33.98,29.0,24.56,134.3,36.74,5.1,1.0,26.84
8,1,0,26.74,27.1,33.98,29.0,187.83,50.71,5.24,1.0,27.52
9,1,0,26.84,26.74,27.1,33.98,253.78,28.82,2.71,2.0,26.36
9,1,0,27.52,26.84,26.74,27.1,271.89,36.63,4.65,2.0,24.18
9,1,0,26.36,27.52,26.84,26.74,271.76,40.82,1.9,2.0,26.98
9,1,0,24.18,26.36,27.52,26.84,214.65,26.22,2.24,2.0,26.84
10,1,0,26.98,24.18,26.36,27.52,322.77,48.66,3.27,3.0,41.22
10,1,0,26.84,26.98,24.18,26.36,318.67,43.65,5.24,3.0,30.8
10,1,0,41.22,26.84,26.98,24.18,191.08,21.87,5.51,3.0,28.08
10,1,0,30.8,41.22,26.84,26.98,280.67,38.86,8.12,3.0,28.56
11,1,0,28.08,30.8,41.22,26.84,321.7,50.33,5.78,3.0,30.18
11,1,0,28.56,28.08,30.8,41.22,161.83,39.47,4.02,3.0,24.96
11,1,0,30.18,28.56,28.08,30.8,280.44,26.95,4.18,3.0,38.94
11,1,0,24.96,30.18,28.56,28.08,61.09,21.35,4.67,3.0,25.22
12,1,0,38.94,24.96,30.18,28.56,328.28,46.18,4.18,2.0,25.18
12,1,0,25.22,38.94,24.96,30.18,179.33,33.35,3.37,2.0,25.56
12,1,0,25.18,25.22,38.94,24.96,278.93,35.15,3.57,2.0,26.64
